Samples	Condition	Day	Intensity
A-T0-C1-1_S27	Control	Day_0	Control
A-T0-C2-1_S29	Control	Day_0	Control
A-T0-F1-1_S15	Firing	Day_0	Low
A-T0-F2-1_S22	Firing	Day_0	Low
A-T0-F3-1_S21	Firing	Day_0	Low
A-T0-F4-1_S16	Firing	Day_0	Low
A-T0-F5-1_S20	Firing	Day_0	Low
A-T0-F6-1_S19	Firing	Day_0	Low
A-T1-C1-1_S24	Control	Day_1	Control
A-T1-C2-1_S25	Control	Day_1	Control
A-T1-F1-1_S11	Firing	Day_1	Low
A-T1-F2-1_S4	Firing	Day_1	Low
A-T1-F3-1_S12	Firing	Day_1	Low
A-T1-F4-1_S9	Firing	Day_1	Low
A-T1-F5-1_S14	Firing	Day_1	Low
A-T1-F6-1_S23	Firing	Day_1	Low
A-T3-C1-1_S10	Control	Day_3	Control
A-T3-C2-1_S8	Control	Day_3	Control
A-T3-F1-1_S1	Firing	Day_3	Low
A-T3-F2-1_S2	Firing	Day_3	Low
A-T3-F3-1_S5	Firing	Day_3	Low
A-T3-F4-1_S3	Firing	Day_3	Low
A-T3-F5-1_S7	Firing	Day_3	Low
A-T3-F6-1_S6	Firing	Day_3	Low
A-T7-C1-1_S72	Control	Day_7	Control
A-T7-C2-1_S31	Control	Day_7	Control
A-T7-F1-1_S27	Low	Day_7	Low
A-T7-F2-1_S25	Firing	Day_7	Low
A-T7-F3-1_S28	Firing	Day_7	Low
A-T7-F4-1_S26	Firing	Day_7	Low
A-T7-F5-1_S30	Firing	Day_7	Low
A-T7-F6-1_S29	Firing	Day_7	Low
B-T0-C1-1_S28	Control	Day_0	Control
B-T0-C2-1_S26	Control	Day_0	Control
B-T0-C3-1_S75	Control	Day_0	Control
B-T0-C4-1_S39	Control	Day_0	Control
B-T0-C5-1_S76	Control	Day_0	Control
B-T0-C6-1_S77	Control	Day_0	Control
B-T1-C1-1_S17	Control	Day_1	Control
B-T1-C2-1_S18	Control	Day_1	Control
B-T1-C3-1_S80	Control	Day_1	Control
B-T1-C4-1_S79	Control	Day_1	Control
B-T1-C5-1_S78	Control	Day_1	Control
B-T1-C6-1_S81	Control	Day_1	Control
B-T3-C2-1_S13	Control	Day_3	Control
B-T3-C3-1_S53	Control	Day_3	Control
B-T3-C4-1_S52	Control	Day_3	Control
B-T3-C5-1_S58	Control	Day_3	Control
B-T3-C6-1_S51	Control	Day_3	Control
B-T7-C2-1_S32	Control	Day_7	Control
B-T7-C3-1_S60	Control	Day_7	Control
B-T7-C4-1_S61	Control	Day_7	Control
B-T7-C5-1_S64	Control	Day_7	Control
B-T7-C6-1_S62	Control	Day_7	Control
C-T0-C1_S67	Control	Day_0	Control
C-T0-C2_S66	Control	Day_0	Control
C-T0-C2-2_C-T1-C2-2_S71	Control	Day_0	Control
C-T0-F1-1_S65	Firing	Day_0	High
C-T0-F2_S68	Firing	Day_0	High
C-T1-C1-1_S74	Control	Day_1	Control
C-T1-F1-1_S38	Firing	Day_1	High
C-T1-F2-1_S37	Firing	Day_1	High
C-T3-C1-1_S55	Control	Day_3	Control
C-T3-C2-1_S57	Control	Day_3	Control
C-T3-F1-1_S54	Firing	Day_3	High
C-T3-F2-1_S56	Firing	Day_3	High
C-T7-C1-1_S59	Control	Day_7	Control
C-T7-C2-2_S69	Control	Day_7	Control
C-T7-F1-1_S63	Firing	Day_7	High
C-T7-F2-1_S73	Firing	Day_7	High
D-T0-F1-1_S31	Firing	Day_0	High
D-T0-F2-1_S30	Firing	Day_0	High
D-T0-F3-1_S32	High	Day_0	High
D-T0-F4-1_S33	Firing	Day_0	High
D-T1-F1-1_S35	Firing	Day_1	High
D-T1-F2-2_S70	Firing	Day_1	High
D-T1-F3-1_S36	Firing	Day_1	High
D-T1-F4-1_S34	Firing	Day_1	High
D-T3-F1-1_S17	Firing	Day_3	High
D-T3-F2-1_S21	Firing	Day_3	High
D-T3-F3-1_S22	Firing	Day_3	High
D-T3-F4-1_S24	Firing	Day_3	High
D-T7-F1-1_S18	Firing	Day_7	High
D-T7-F2-1_S19	Firing	Day_7	High
D-T7-F3-1_S20	Firing	Day_7	High
D-T7-F4-1_S23	Firing	Day_7	High
E-T0-C1-1_S14	Control	Day_0	Control
E-T0-C2-1_S16	Control	Day_0	Control
E-T0-C3-1_S13	Control	Day_0	Control
E-T0-C4-1_S15	Control	Day_0	Control
E-T1-C1-1_S1	Control	Day_1	Control
E-T1-C2-1_S8	Control	Day_1	Control
E-T1-C3-1_S4	Control	Day_1	Control
E-T1-C4-1_S2	Control	Day_1	Control
E-T3-C1-1_S7	Control	Day_3	Control
E-T3-C2-1_S5	Control	Day_3	Control
E-T3-C3-1_S6	Control	Day_3	Control
E-T3-C4-1_S3	Control	Day_3	Control
E-T7-C1-1_S12	Control	Day_7	Control
E-T7-C2-1_S10	Control	Day_7	Control
E-T7-C3-1_S11	Control	Day_7	Control
E-T7-C4-1_S9	Control	Day_7	Control
